OPEN,HIGH,LOW,CLOSE,VOLUME,Close_Time,QUOTE_ASSET_VOLUME,NUMBER_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,IGNORE,Date_column
"9298,33",9340,"9009,69","9249,49","55831,61916",1593129599999,"514396747,4",536205,"26546,39556","244659133,9",0,25/06/2020 00:00:00
"11744,91",11900,"11562,5","11762,46","63529,08502",1596758399999,"746479211,7",919918,"30044,2033","353083043,8",0,06/08/2020 00:00:00
"21335,52",23800,21230,"22797,16","184882,4767",1608249599999,4196645567,2795084,"92409,40508",2097021809,0,17/12/2020 00:00:00
"22432,58",23800,"21579,54","23396,62","263770,7657",1658275199999,5954419902,6488375,"132874,4341",2999605957,0,19/07/2022 00:00:00
"47067,99",47600,45200,"45510,34","48645,12667",1648771199999,2262485161,1290541,"22879,47328",1064278671,0,31/03/2022 00:00:00
"6838,04",6978,"6754,28","6868,7","69068,62329",1586908799999,"474794776,2",608665,"32019,32234","220122993,7",0,14/04/2020 00:00:00
"26522,73",26888,26224,26600,"26227,29369",1694822399999,695203258,654094,"12600,39115","334045930,8",0,15/09/2023 00:00:00
"4800,01",5955,"3782,13","5578,6","402201,6738",1584143999999,2063819541,2309830,"197511,9543",1017423856,0,13/03/2020 00:00:00
"9291,35",9350,"9093,01","9197,02","53308,17527",1580860799999,"491136137,2",528930,"26103,43231","240571508,2",0,04/02/2020 00:00:00
"22136,42",22800,"20111,62","22583,72","200774,4935",1655337599999,4249276481,2847831,"98340,10222",2083014439,0,15/06/2022 00:00:00
"9448,27",10380,"9421,67","10200,77","76649,12696",1591055999999,"749707596,7",826964,"41530,41232","406777189,3",0,01/06/2020 00:00:00
"30373,84",31000,29966,"30466,93","75984,19452",1681516799999,2323267494,1504180,"38406,59006",1174371284,0,14/04/2023 00:00:00
"7354,19",7495,7318,"7358,75","38331,0856",1578268799999,"284848683,8",329209,"19455,36956","144600094,4",0,05/01/2020 00:00:00
"21140,07",21800,"21069,11","21515,61","159200,6841",1661126399999,3405034923,5034461,"80239,2419",1716250543,0,21/08/2022 00:00:00
"24401,7",24888,"24291,22","24441,38","152852,2544",1660435199999,3751417148,5617859,"76352,504",1873989924,0,13/08/2022 00:00:00
"9380,81",9888,"9322,1","9680,04","68647,76432",1589759999999,"663088800,8",722718,"34734,03499",335478916,0,17/05/2020 00:00:00
"20482,81",20800,"20048,04","20151,84","373716,273",1667433599999,7633404092,7431698,"185785,9721",3795164791,0,02/11/2022 00:00:00
27385,28996,27320,"28875,54","95356,05783",1609372799999,2683953237,1916095,"48057,90637",1352877360,0,30/12/2020 00:00:00
"10776,59",10920,10437,"10619,13","60866,33289",1601596799999,"652168989,5",794855,"28449,9751","304779535,4",0,01/10/2020 00:00:00
"28300,8",30036,27235,"28415,29","129228,404",1682553599999,3719701462,2261942,"64540,55521",1857698379,0,26/04/2023 00:00:00
32950,33456,"31390,16",32078,"64595,28768",1611446399999,2089098296,1700056,"32680,77613",1057114175,0,23/01/2021 00:00:00
"7195,24",7255,"7175,15","7200,85","16792,38817",1577923199999,"121214452,1",194010,"8946,955535","64597785,21",0,01/01/2020 00:00:00
"8110,34",8880,"8105,54","8810,01","120399,1267",1579046399999,1032735181,915328,"62492,09668","536081638,1",0,14/01/2020 00:00:00
"27590,59",28000,"26942,82","27510,93","53111,56874",1682380799999,1458406516,1211080,"25641,28044","704079582,7",0,24/04/2023 00:00:00
"21647,21",21860,21350,"21826,87","280702,5515",1662940799999,6064643643,4801844,"141171,8812",3050253458,0,11/09/2022 00:00:00
"11099,79",11444,10960,"11335,46","70063,66097",1596239999999,"786344325,9",971584,"34068,14337","382632611,4",0,31/07/2020 00:00:00
